,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Saskylakh,100,RU,1564369810,69,71.97,114.09,47.39,9.4
1,Atuona,0,PF,1564369811,77,-9.8,-139.03,80.51,21.81
2,Paamiut,0,GL,1564369812,92,61.99,-49.67,39.11,2.98
3,Laguna,90,BZ,1564369814,100,16.17,-88.94,73.4,2.55
4,Butaritari,100,KI,1564369820,67,3.07,172.79,85.19,7.23
5,Saint-Philippe,90,CA,1564369824,94,45.36,-73.48,77.0,4.7
6,Troitsko-Pechorsk,100,RU,1564369825,96,62.71,56.19,51.17,8.23
7,Porto Tolle,100,IT,1564369830,23,44.95,12.32,71.01,2.75
8,Komsomolskiy,100,RU,1564369834,60,67.55,63.78,48.65,17.43
9,Touros,40,BR,1564369835,100,-5.2,-35.46,71.6,3.36
10,Punta Arenas,0,CL,1564369836,74,-53.16,-70.91,37.4,10.29
11,Pittsburg,1,US,1564369661,31,38.02,-121.89,89.6,9.17
12,Hermanus,99,ZA,1564369718,95,-34.42,19.24,50.0,1.01
13,Hualmay,96,PE,1564369757,88,-11.1,-77.61,59.27,17.29
14,Hamilton,1,CA,1564369636,83,43.26,-79.87,78.01,5.82
15,Namibe,49,AO,1564369846,82,-15.19,12.15,64.49,13.58
16,Pangody,98,RU,1564369848,63,65.85,74.49,53.15,7.07
17,Okhotsk,0,RU,1564369850,67,59.36,143.24,65.39,13.67
18,Albany,90,US,1564369844,78,42.65,-73.75,75.99,8.55
19,Dingle,98,PH,1564369854,88,11.0,122.67,78.53,5.28
20,Takoradi,100,GH,1564369729,90,4.89,-1.75,73.49,3.8
21,Mar del Plata,89,AR,1564369856,63,-46.43,-67.52,40.73,12.39
22,Alofi,100,NU,1564369856,78,-19.06,-169.92,78.8,13.87
23,Port Alfred,0,ZA,1564369857,89,-33.59,26.89,64.0,1.99
24,Kodiak,90,US,1564369859,74,39.95,-94.76,79.0,4.7
25,Hobart,75,AU,1564369601,46,-42.88,147.33,50.0,12.75
26,Cape Town,75,ZA,1564369607,93,-33.93,18.42,55.0,16.11
27,Busselton,0,AU,1564369717,45,-33.64,115.35,61.0,11.97
